ID,Name_EN,Address_EN,Time_Tags_EN
E057,O Lich Hue Beef Noodle Shop,"94 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E058,Now Restaurant - Com Nieu Restaurant - Delicious Family Hot Pot Dalat,"5 Street Lý Tự Trọng, Ward 2, Da Lat, Lâm Đồng 670000, Việt Nam",All day
E059,Da Lat BBQ,"91 Phan Bội Châu, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E060,Da Lat Rice,"141 Street Bùi Thị Xuân, Ward xuân hương, Da Lat, Lâm Đồng, Việt Nam",All day
E061,PEACEFUL TIME Drinking and Grilling,"46 Street Lê Thánh Tôn, Ward 6, Da Lat, Lâm Đồng 67000, Việt Nam",Lunch/Dinner
E062,Ly Restaurant,"Số 2 Đ. Mạc Đĩnh Chi, Ward 4, Da Lat, Lâm Đồng 66100, Việt Nam",Lunch/Dinner
E063,HUA GIA KITCHEN,"119 Đồng Tâm, Ward 4, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E064,Dalat Hot Pot Restaurant - Royal Sturgeon Hot Pot,"42 Đ Phạm Ngũ Lão, Ward 4, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E065,HoLoKy - Da Lat hot pot grill,"70/1 Đoàn Thị Điểm, Ward 4, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E066,Ngan goat hot pot,"21/19 Đ. Trần Phú, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E067,Wood Stove Rice Shop - Family Rice,"16 Huyền Trân Công Chúa, Ward 4, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch
E068,Da Lat Delicious Restaurant,"A22 Street Trần Lê, Ward 4, Da Lat, Lâm Đồng 66115, Da Lat, Lâm Đồng 66116, Việt Nam",Lunch/Dinner
E069,Countryside Rice,"8/2 Đ. Thiên Thành, Ward 4, Da Lat, Lâm Đồng, Việt Nam",Lunch
E070,Japanese street food,"38 Đoàn Thị Điểm, Ward 1, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E071,KALA FISH Restaurant,"7A Đ. Huỳnh Thúc Kháng, Ward 4, Da Lat, Lâm Đồng 670000, Việt Nam",All day
E072,Seafood Hotpot Crab Street,"4 Đoàn Thị Điểm, Ward 1, Da Lat, Lâm Đồng, Việt Nam",All day
E073,Ganh Rice Shop (Da Lat Lunch Shop),"175 Ba Tháng Hai, Ward 4, Da Lat, Lâm Đồng, Việt Nam",Lunch
E074,Bich Cau 3 Restaurant - Da Lat,"9 Đ. Huỳnh Thúc Kháng, Ward 4, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E075,Shop embankment,"161/3 Ba Tháng Hai, Ward 4, Da Lat, Lâm Đồng, Việt Nam",All day
E076,Lam rice with grilled chicken from western origin,"77 Đoàn Thị Điểm, Ward 4, Da Lat, Lâm Đồng, Việt Nam",All day
E077,Vegetarian Restaurant - AN LAC TAM,"40 Đ Phạm Ngũ Lão, Ward 1, Da Lat, Lâm Đồng 66000, Việt Nam",All day
E078,Auntie 5 Restaurant - Central Highlands Grill - Da Lat Sturgeon Hotpot,"30 Đ. Ngô Thì Sỹ, Ward 4, Da Lat, Lâm Đồng 670000, Việt Nam",Dinner
E079,Restaurant 65 Da Lat,"33 KQH Trần Lê, Ward 4, Da Lat, Lâm Đồng, Việt Nam",All day
E080,Nam Anh Phat - Dalat Hotpot and Grill,"36 Đ. Mạc Đĩnh Chi, Ward 4, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E081,A Vu restaurant's rice shop,"20 Huyền Trân Công Chúa, Ward 4, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E082,Happy Chicken Shop - Grilled Chicken with Lam Rice & Chicken Hotpot with é Leaves,"86 Đ. Hoàng Diệu, Ward 5, Da Lat, Lâm Đồng 66000, Vietnam",Lunch/Dinner
E083,Anne Dalat restaurant,"47 Street Hàn Thuyên, Ward 5, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E084,BBQ Garden Dalat - Dalat hotpot grilled BUFFET,"21 Đ. Hoàng Diệu, Ward 5, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E085,An Gia noodle shop,"46A Đ. Trần Nhật Duật, Ward 5, Da Lat, Lâm Đồng, Vietnam",All day
E086,Huong Quan Da Lat,"47B Trần Bình Trọng, Ward 5, Da Lat, Lâm Đồng 67000, Vietnam",Lunch/Dinner
E087,Dalat Salmon Sturgeon Restaurant - Chivo,"20 Trần Bình Trọng, Ward 5, Da Lat, Lâm Đồng 670000, Vietnam",Lunch/Dinner
E088,Aunt Dinh's grilled rice paper,"26 Đ. Hoàng Diệu, Ward 5, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E089,Ku Boc chicken rice with egg sauce,"36 Đ. Mạc Đĩnh Chi, Ward 5, Da Lat, Lâm Đồng 610000, Vietnam",Lunch/Dinner
E090,Grilled Nam Da Lat,"07 Đ. Hoàng Diệu, Ward 5, Da Lat, Lâm Đồng 670000, Vietnam",Dinner
E091,Ha Phuong chicken intestine wet cake shop,"KQH Hoàng Diệu/Lô F5 Đặng Thùy Trâm, Ward 5, Da Lat, Lâm Đồng, Vietnam",Breakfast/Lunch
E092,DELICIOUS STEAK,"61 Đ. Mai Hắc Đế, Ward 6, Da Lat, Lâm Đồng 66000, Vietnam",Lunch/Dinner
E093,Ban Don Restaurant Dalat - Wild Meat & Central Highlands Dishes,"Alley 51 Street Nguyễn An Ninh, Ward 6, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E094,Chicken hot pot with é o o o leaves,"11 Kim Đồng, Ward 6, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E095,Co Thu Nem Nuong Restaurant,"56/13 Hải Thượng, Ward 6, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E096,Pho - Gia Lam Beef Hotpot Dalat,"30 đường Ngô Quyền, Ward 6, Da Lat, Lâm Đồng 670000, Vietnam",All day
E097,Pan Bread 303,"303 Street Hai Bà Trưng, Ward 6, Da Lat, Lâm Đồng 670000, Vietnam",Breakfast/Lunch
E098,Kieu Quan - Banh Cuon Bun Cha Hanoi,"242A Street Hai Bà Trưng, phường 6, Da Lat, Lâm Đồng 670000, Vietnam",All day
E099,Quang Ba Tam Noodle Shop Dalat,"60 Street Phạm Ngọc Thạch, Ward 6, Da Lat, Lâm Đồng 670000, Vietnam",All day
E100,Xuyen Tieu - Hong Kong Hot Pot,"45 Street Hai Bà Trưng, Ward 6, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E101,Pig's Rice House - Piggies Rice House,"Hẻm 217 Ngô Quyền, Ward 6, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E102,Pho Uyen restaurant,"167 Xô Viết Nghệ Tĩnh, Ward 7, Da Lat, Lâm Đồng, Vietnam",Breakfast/Lunch
E103,SMOKE - Hot Pot & Grill,"206 Xô Viết Nghệ Tĩnh, Ward 7, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E104,Bun To Hoang Hien Mang Line,"127 Xô Viết Nghệ Tĩnh, Ward 7, Da Lat, Lâm Đồng, Vietnam",Breakfast/Lunch
E105,Nem Nuong - Hoang Hai Corn Ramen - Traditional charcoal grill.,"12 La Sơn Phu Tử, Ward 7, Da Lat, Lâm Đồng 670000, Vietnam",Lunch/Dinner
E106,Xoi Xeo Co Ba,"05 Street Bạch Đằng, Ward 7, Da Lat, Lâm Đồng, Vietnam",All day
E107,A Ke chicken rice,"56 Xô Viết Nghệ Tĩnh, Ward 7, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E108,U Nu Grill Shop,"39 Street Trần Đại Nghĩa, Ward 8, Da Lat, Lâm Đồng 670000, Vietnam",Lunch/Dinner
E109,GRILL: Da Lat grill shop,"4 Street Trần Khánh Dư, Ward 8, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E110,Hang Thien Dalat vegetarian hot pot,"265/4 Đ. Bùi Thị Xuân, Ward 8, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E111,Minh Hien restaurant,"1 Hẻm 1P-2T Phù Đổng Thiên Vương, Ward 8, Da Lat, Lâm Đồng 670000, Vietnam",Lunch/Dinner
E112,Lo-ghim Grill & Chill Da Lat restaurant,"38 Street Võ Trường Toản, Ward 8, Da Lat, Lâm Đồng, Vietnam",Dinner
E113,Chill Garden Buffet,"2c Street Vạn Kiếp, Ward 8, Da Lat, Lâm Đồng, Vietnam",Dinner
E114,Pho Man Dalat (Pho Man - Vietnamese Beef Noodles),"8 Street Trần Quang Khải, street, Da Lat, Lâm Đồng 670000, Vietnam",Breakfast/Lunch
E115,Lam Ky Goat Hotpot,"2 Street Ngô Tất Tố, Ward 8, Da Lat, Lâm Đồng, Vietnam",All day
E116,Chisai Ramen Noodle Shop,"33/72 Nguyễn Công Trứ, P.8, Da Lat, Lâm Đồng, Vietnam",Lunch/Dinner
E117,Canteen 59 - Da Lat snack shop,"2 Đ. Trần Nhân Tông, Ward 8, Da Lat, Lâm Đồng 670000, Vietnam",Dinner
E118,CO Sinh - grilled chicken with lam rice,"86 Đ. Hùng Vương, Ward 9, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E119,UT HIEN rice shop,"1/7, Đ. Trần Quý Cáp, Ward 9, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E120,Quang Hang noodles,"65 Street Trạng Trình, Ward 9, Da Lat, Lâm Đồng, Việt Nam",Lunch
E121,Hot Casting Cup,"Đ. Nguyễn Đình Chiểu, Ward 9, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E122,Khaki Ramen,"1/4, Đ. Nguyễn Đình Chiểu, Ward 9, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E123,The HOT Beer Garden,"28 D. Sương Nguyệt Anh, Ward 9, Da Lat, Lâm Đồng, Việt Nam",Dinner
E124,Dai Loc Quang Noodles,"242 Yersin, Ward 9, Da Lat, Lâm Đồng, Việt Nam",All day
E125,Rice Noodle Ngoc Phuong,"26 D. Sương Nguyệt Anh, Ward 9, Da Lat, Lâm Đồng 670000, Việt Nam",All day
E126,Papa Restaurant,"47 D. Sương Nguyệt Anh, Ward 9, Da Lat, Lâm Đồng, Việt Nam",All day
E127,Linh Rice Restaurant Dalat - Suong Nguyet Anh,"23 D. Sương Nguyệt Anh, Ward 9, Da Lat, Lâm Đồng 66100, Việt Nam",Lunch/Dinner
E128,RICE - NORTHERN MEDICINE POTENTIAL (TIM THANG 2),"Đ. Nguyễn Đình Chiểu, Ward 9, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E129,Vietnamese Pizza (Wood-fired Pizza),"22 Phan Chu Trinh, Ward 9, Da Lat, Lâm Đồng, Việt Nam",All day
E130,Jollibee Phan Chu Trinh,"1 Phan Chu Trinh, Ward Lâm Viên, Da Lat, Lâm Đồng, Việt Nam",All day
E131,Da Lat sunshine sturgeon,"đầu, Phan Chu Trinh/1 Đ. Trần Quý Cáp, Ward 9, Da Lat, Lâm Đồng 670000, Việt Nam",Lunch/Dinner
E132,Pho Vy,"1 Trần Quý Cáp, 9, Đà 9 Da Lat Vietnam, Ward 9, Da Lat, Lâm Đồng, Việt Nam",Breakfast/Lunch
E133,Nem Nuong Hoang Hai,"2 Đ. Trần Quý Cáp, Ward 9, Da Lat, Lâm Đồng",Lunch/Dinner
E134,Smoke Kitchen - Da Lat Giant Spicy Ribs,"42 Phan Chu Trinh, Ward 9, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E135,Spicy Noodles SEOUL Da Lat CN2,"26 Đ. Nguyễn Đình Chiểu, Ward 9, Da Lat, Lâm Đồng 66000, Việt Nam",All day
E136,Le Dung Restaurant,"5 Hồ Xuân Hương, Ward 9, Da Lat, Lâm Đồng, Việt Nam",All day
E137,Benevolent broken rice,"43 Đ. Hùng Vương, Ward 9, Da Lat, Lâm Đồng, Việt Nam",Breakfast/Lunch
E138,Linh rice restaurant Dalat,"11 Lê Văn Tám, Ward 10, Da Lat, Lâm Đồng 66100, Việt Nam",Lunch/Dinner
E139,Da Lat Kitchen Restaurant,"89 Hoàng Hoa Thám, Ward 10, TP. Da Lat",Breakfast/Lunch
E140,Hoi An Quang Noodles,"14 Yersin, Ward 10, Da Lat, Lâm Đồng",All day
E141,Banh Can Le,"27/44 Yersin, Ward 10, Da Lat",Breakfast/Lunch
E142,Khe Sanh Sturgeon Restaurant," 7 Khe Sanh, Ward 10, TP. Da Lat",Lunch/Dinner
E143,Phuc Nguyen Goat Hot Pot Dalat,"Số 32 đường Trần Hưng Đạo, Ward 10, City Da Lat",Lunch/Dinner
E144,Ms. Lanh's cake can,"69 Hoàng Hoa Thám, Ward 10, City Da Lat",Breakfast
E145,Dalat Balu beef hotpot,"104 Đ.Hoàng Hoa Thám, Ward 10, Da Lat",Lunch/Dinner
E146,Hoi No Restaurant,"4 Trần Hưng Đạo, Ward 10, City Da Lat.",Breakfast/Lunch
E147,MEMORY HOT POT SHOP,"678 Đ. Hùng Vương, Ward 11, Da Lat, Lâm Đồng 670000, Việt Nam",Lunch/Dinner
E148,Campi Grill Shop,"31 Sào Nam, Ward 11, Da Lat, Lâm Đồng, Việt Nam",Dinner
E149,Mr. Thuong's Grill Shop,"74 Sào Nam, Ward 11, Da Lat, Lâm Đồng 671000, Việt Nam",Lunch/Dinner
E150,Spicy Fish Noodles,"35 Street Bùi Thị Xuân, Ward Xuân Hương, Da Lat, Lâm Đồng 66000, Việt Nam",All day
E151,Cao Nguyen Restaurant,"166 Đ. Hùng Vương, Ward 11, Da Lat, Lâm Đồng, Việt Nam",All day
E152,Wooden House Beef Hotpot - Field Hill,"Đ. Hùng Vương, Ward 11, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E153,Dung can cake,"160 Tự Phước, Ward 11, Da Lat, Lâm Đồng, Việt Nam",Breakfast/Lunch
E154,Lighthouse Hill Grill Shop,"49B Tổ, Sào Nam/Cuối Đ. Hùng Vương, Gần Làng, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E155,Bag Mo To Garden Restaurant,"Hẻm 31 Sào Nam, Ward 11, Da Lat, Lâm Đồng 66100, Việt Nam",Lunch/Dinner
E156,Rice Nieu Loc Ky Dalat,"109 Đ. Hùng Vương, Ward 11, City Da Lat, Lâm Đồng 700000, Da Lat, Lâm Đồng 66000, Việt Nam",All day
E157,"Snakehead Fish Soup, Hue Eel Vermicelli - Ngo Gia","QL20/33 Tự Phước, Ward 11, Da Lat, Lâm Đồng 670000, Việt Nam",All day
E158,Cage-Housed Young Cows,"Số 2 Đồi Dã Chiến, Ward 12, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E159,Thai Phien banh beo,"27 Ngô Gia Tự, Ward 12, Da Lat, Lâm Đồng",All day
E160,Mr.Xanu fried chicken,"38 Street Thái Phiên, Ward 12, Da Lat, Lâm Đồng 66000",Lunch/Dinner
E161,Thai Phien fresh goat,"11 Ngô Gia Tự, Ward 12, Da Lat, Lâm Đồng",All day
E162,Tien Phu 2,"39 Ngô Gia Tự, Ward 12, Da Lat, Lâm Đồng, Việt Nam",All day
E163,Banh Canh 59,"59 Street Nguyễn Thái Bình, Ward 12, Da Lat, Lâm Đồng",Breakfast/Lunch
