ID,Name_EN,Address_EN,Highlight_EN,Tags_EN
P011,Tea Resort Prenn Dalat,"Cầu chân đèo Prenn, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Cầu chân đèo Prenn, Ward 3, Da Lat, Lam Dong) ",The resort combines tea and fun experiences on Prenn hill. Nordic-style sleds and wooden houses bring a dynamic yet poetic feeling.,Manmade
P012,Chicken Church Da Lat,"15 Trần Phú, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 15 Đ. Trần Phú, Ward 3, Da Lat, Lam Dong) ","The Chicken Church has a Roman style, featuring a high bell tower and a rooster statue on top. The vibrant stained glass interior paints a picture of Catholic history in Da Lat.",Spiritual
P013,"Tuyen Lam Lake, Da Lat","Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Ward 4, Da Lat, Lam Dong) ",The city's largest lake is surrounded by pine forests and coastal resorts. Renting a kayak or simply meditating by the calm water both brings a sense of peace.,Pure nature
P014,Dalat Wonderland Amusement Park Dalat,"Khu du lịch Quốc gia Hồ Tuyền Lâm, 19 Đ. Hoa Hồng, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Khu du lịch Quốc gia Hồ Tuyền Lâm, 19 Đ. Hoa Hồng, Ward 4, Da Lat, Lam Dong) ","Fairy tale and adventure themed entertainment complex for families. Ziplines, sepak takraw and colorful check-in corners make both children and adults excited.",Sporty
P015,"Cau Dat Farm Tea Hill, Dalat","Xuân Trường, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Xuân Trường, Ward 4, Da Lat, Lam Dong) ",The famous tea hill with lush green tea beds stretching to the horizon. Getting up early to hunt clouds and enjoy a cup of hot tea right at the farm is the most worth-trying experience in Cau Dat.,Healing
P016,Dalat clay sculpture tunnel,"Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Ward 4, Da Lat, Lam Dong) ","The red clay sculpture tunnel recreates Da Lat's history through hundreds of unique works. Clay houses, train carriages and a semicircular lake create a scene like entering another world.",Manmade
P017,Da Lat crazy house,"3 Huỳnh Thúc Kháng, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 03 Đ. Huỳnh Thúc Kháng, Ward 4, Da Lat, Lam Dong) ","The ancient villa is famous for its surreal architecture, winding corridors, and rooms like in a fairy tale. Every corner is full of color and unexpected details, stimulating the imagination of all ages.",Manmade
P018,Purple stream,"Ward 4, Da Lat, Lam Dong","The clear stream weaves through the quiet forest, suitable for a gentle picnic. The characteristic orange dyed water creates a strange background for nature photos.",Pure nature
P019,Lumbini Pagoda Dalat,"Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 2 Thiện Mỹ, Ward 4, Da Lat, Lam Dong) ","A small, discreet temple in the middle of a mountain town with a garden of Bodhisattva statues and a cozy main hall. The wafting scent of incense and the quiet sound of bells help you find inner peace.",Spiritual
P020,Mausoleum of Nguyen Huu Hao,"đường Vạn Thành, phường 4, TP. Da Lat, tỉnh Lam Dong",The mausoleum of Queen Nam Phuong's father is located in the middle of a quiet pine hill. The East-West fusion architecture and moss-covered stone steps evoke a deep sense of nostalgia.,Spiritual
P021,Bao Dai Palace III Dalat,"1 Triệu Việt Vương, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 1 St. Triệu Việt Vương, Ward 4, Da Lat, Lam Dong) ","King Bao Dai's summer residence, preserving the original Art Deco interior. The flower garden and pine forest around the palace create a royal atmosphere but still close to nature.",History
P022,Crazy House,"03 Đ. Huỳnh Thúc Kháng, Ward 4, Da Lat, Lam Dong",Crazy House is an art maze with animal shapes and giant old trees. The rooftop walkway allows you to enjoy panoramic views of the mountain town in bold fairy tale style.,Manmade
P023,Happy Hill,"Happy Hill, Hoa Phượng Tím, Phường 4, Thành Phố Đà lạt","Photography area along Tuyen Lam lake with fairytale wooden houses and purple flower gardens. The golden afternoon sun reflects on the water surface, creating an extremely romantic scene.",Cafe
P024,Da Lat Guest House,"Hẻm 27 Lê Hồng Phong, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Hẻm 27 Lê Hồng Phong, Ward 04, Da Lat, Lam Dong) ","The space has a strong swordplay style with wooden gates, koi ponds and green bamboo forests. The light filtering through the afternoon canopy turns this place into a miniature historical film studio.",Manmade
P025,Fresh Garden Da Lat,"90B Vạn Thành, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : 90B Vạn Thành, Ward 5, Da Lat, Lam Dong) ","The flower farm is brilliant all year round, featuring a windmill and glass bridge in the middle of the valley. The scent of lavender and hydrangeas covers the winding paths, perfect for family photos.",Manmade
P026,Langfarm Center,"1B St. Hoàng Văn Thụ, Ward 5, Da Lat, Lam Dong ","Langfarm specialty paradise with unlimited jam, tea and coffee tasting. The modernly designed experience space helps you easily buy gifts with Da Lat flavor.",Manmade
P027,Fairytale Land Dalat,"81D Hoàng Văn Thụ, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : 81D Hoàng Văn Thụ, Ward 5, City Da Lat, Province Lam Dong) ","Fairyland with hobbit houses, giant wine barrels and mossy tunnels. Stories are told through each area, making children and adults excited to explore.",Manmade
P028,Madame De Dalat,"2 Yết Kiêu, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : 2 Đ. Yết Kiêu, Ward 5, Da Lat, Lam Dong) ","The villa displays artifacts that tell stories about the nobility and ancient Dalat tea culture. Each room retains its sophisticated interior, very suitable for fans of ancient French architecture.",History
P029,Hoa Son Dien Trang Ecotourism Area Dalat,"Tiểu khu 159, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : Tiểu khu 159 Ward 5 hướng đi đèo, 159 ĐT725, P. 5, Da Lat, Lam Dong) ",The eco-tourism area is famous for its giant Buddha hand reaching out in the middle of the forest. The wooden path leading to the rolling mountain view makes it easy for you to hunt for million-like photos.,Manmade
P030,"Cherry blossom road (go in the first month of the year (1, 2))","Đường Trần Hưng Đạo, dốc Đa Quý","The peach road blooms in January-February, dyeing the whole street pink in the spring sunshine. Walking among the ancient trees is a wonderful romantic experience for couples.",Pure nature
P031,Lac Tien Gioi Da Lat,"⅓ Lâm Sinh, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : 1/3 Lâm Sinh, Ward 5, City Da Lat, Lam Dong) ","Swing paradise in the middle of the lake with a floating piano and flying swing. The calm water surface reflects the sky, making each frame look like a painting.",Pure nature
P032,Farm Valley Gau,"71 An Tôn, Ward 5, Da Lat, Lam Dong",The coffee farm combines flower gardens and cute sheep. A cup of hot coffee enjoyed on the hill helps you fully feel the cold weather of Cam Ly valley.,Cafe
P033,Cam Ly Waterfall Dalat,"8b Hoàng Văn Thụ, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : 8b St. Hoàng Văn Thụ, Ward 5, Da Lat, Lam Dong) ","The waterfall is right next to the center but still retains its wild look and intense roaring sound. The most beautiful moment is after the rain, when steam rises dimly in the pine forest.","50% nature, 50% human"
P034,Domaine de Marie Church:,"01 Ngô Quyền, Ward 6, Da Lat",The pink church features simplified Gothic architecture and cherry blossom grounds. From the high stairs you can have a complete view of the misty city.,History
P035,Dalat Biological Research Institute,"116, Xô Viết Nghệ Tĩnh, Ward 7, TP Da Lat, Province Lam Dong",The Museum of Biological Research preserves thousands of specimens of Central Highlands flora and fauna. The ancient stone building and the neighboring pine forest create a very poetic academic atmosphere.,History
P036,Da Phu Hill,"Ward 7, thành phố Da Lat",The high hill is ideal for hunting clouds and watching the sunrise cover the whole city with gold. Camping overnight in the middle of a sea of ​​pine trees will give you very different memories of Da Lat.,Pure nature
P037,Dalat pink grass hill,"Măng Lin, Phường 7, Thành Phố Đà Lạt","At the end of the year, the pink grass spreads under the morning sunlight like a thin layer of dew. This is also where the Suoi Vang festival takes place, attracting young people to check-in.",Pure nature
P038,Puppy Farm Da Lat,"Cam Ly, Ward Lang Biang - Da Lat, Province Lam Dong ( Old address : Cam Ly, Ward 7, Da Lat, Lam Dong) ","Puppy farm with dozens of friendly dog ​​breeds and colorful flower gardens. You can feed pets, take photos and relax in the airy greenhouses.",Manmade
P039,Lumiere Dalat Light Garden,"222B Mai Anh Đào, Ward Lâm Viên - Da Lat, Province Lam Dong ( Old address : 222B St. Mai Anh Đào, Ward 8, Da Lat, Lam Dong) ",The first light show space incorporating modern mapping technology in Da Lat. Theme room system takes you into a colorful world of sound and sight.,Manmade
P040,Dalat Valley of Love,"Mai Anh Đào, Ward Lâm Viên - Da Lat, Province Lam Dong ( Old address : St. Mai Anh Đào, Ward 8, Da Lat, Lam Dong) ","Large valley with lake, walled garden and love lock bridge. Light games like duck riding and jeeps help make the date more interesting.","50% nature, 50% human"
P041,Mong Mo Hill Da Lat,"5 Mai Anh Đào, Ward Lâm Viên - Da Lat, Province Lam Dong ( Old address : No. 5 St. Mai Anh Đào, Ward 8, Da Lat, Lam Dong) ","Lush green resort with bonsai, rock garden and Japanese miniatures. Ethnic music stages at night bring a vibrant atmosphere amidst the mountains and forests.",Healing
P042,Delight Park Dalat,"Delight Park Dalat, 113 Hồ Xuân Hương, Ward 9, Da Lat, Lam Dong","New amusement park with sparkling light show at night. During the day, there are many gentle experiences suitable for families of many generations.",Manmade
P043,Pine Hill Two Graves,"đường Hồ Xuân Hương, phường 9, thành phố Da Lat",Pine hill is associated with the tragic love story of the old Da Lat couple. The trail covered with green pines and morning mist creates a very poetic feeling of tranquility.,Pure nature
P044,Dalat giant pumpkin garden,"69 Hồ Xuân Hương, Ward Lâm Viên - Da Lat, Province Lam Dong ( Old address : 69 Hồ Xuân Hương, Ward 9, Da Lat, Lam Dong) ",A seasonal farm with giant pumpkins and a clean vegetable garden for you to pick yourself. Children are fascinated by the rabbit cage and the colorful photography corners.,Manmade
P045,Co Giang ancient villa,"17 Cô Giang Phường 9, Đà Lạt, Lâm Đồng","The old villa is more than 100 years old, retaining the original brick floors, stairs and wooden furniture. The story of the homeowner and the ghostly anecdotes make this place even more attractive.",History
P046,Still Cafe,"59 Nguyễn Trãi, Ward 9, TP. Da Lat ","The cafe has a Japanese style with a row of wooden houses and a pretty small grocery store. In the afternoon, play gentle indie music, very suitable for reading and relaxing.",Cafe
P047,Da Lat Railway Station,"7a Nguyễn Trãi, Ward Xuân Hương - Da Lat, Province Lam Dong ( số 1 đường Quang Trung, phường 10, thành phố Da Lat, tỉnh Lam Dong)",The most unique Art Deco train station in Indochina has now become a famous photo spot. You can buy antique train tickets running on the Trai Mat route to reminisce about the golden age.,History
P048,Bao Dai Palace I Da Lat,"1 Trần Quang Diệu, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : No. 1 Đ. Trần Quang Diệu, P10, Da Lat, Lam Dong) ","The mansion is located in the middle of a pine forest, known as the most beautiful palace of King Bao Dai. The flower-filled walkways and royal bedrooms clearly recreate high-class life in the 1930s.",History
P049,Bao Dai Palace II Dalat,"12 Trần Hưng Đạo, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 12 Trần Hưng Đạo, phường 10, Da Lat, Lam Dong) ",Bao Dai II Palace is located on a high hill with a balcony with panoramic views of the city. The spring garden grows many rare flowers suitable for a relaxing afternoon.,History
P050,Binh Minh Coffee Shop,"89 Hoàng Hoa Thám, Ward 10, TP. Da Lat ","Sunrise view cafe, famous for its flying mist and tea hills in front of its eyes. Order a piece of cake and sit on the wooden deck to fully enjoy the chilly moment.",Cafe
P051,Linh Phuoc Pagoda Dalat,"120 Tự Phước, Ward Xuân Trường - Da Lat, Province Lam Dong ( Old address : 120 Tự Phước, Ward 11, Da Lat, Lam Dong) ",The pagoda is also called Ve Chai because of its porcelain mosaic architecture and extremely impressive 49m long dragon tower. The 17m high Guan Yin statue in the stupa is a spiritual symbol of the region.,Spiritual
P052,Dalat Memory Station,"87 Huỳnh Tấn Phát, Phương Xuân Trường - Da Lat, Province Lam Dong ( Old address : 87 Huỳnh Tấn Phát, Ward 11, Da Lat, Lam Dong) ","Old train station style coffee shop with acoustic stage and souvenir corner. In the evening, the yellow lights turn on and the space becomes warm as if it takes you back to the 90s.",Healing
P053,Da Lat Big Apricot Bag Coffee Shop,"Hẻm 31 Sào Nam, Ward Xuân Trường - Da Lat, Province Lam Dong ( Old address : Hẻm 31 Sào Nam, Ward 11, Da Lat, Lam Dong) ","Greenhouse cafe in the middle of a flower hill, a favorite meeting place for those who love rattan hunting. Sparkling string lights and small wooden tents help you have a poetic vintage photo set.",Cafe
P054,Nobi Town Da Lat,"30/36 Nam Hồ, Ward Xuân Trường - Da Lat, Province Lam Dong ( Old address : 30/36 Đ. Nam Hồ, Ward 11, Da Lat, Lam Dong) ",Doraemon themed space with miniature Japanese streets and childhood characters. Families can enjoy drinks and participate in fun interactive games.,Manmade
P055,Words of the Wind Coffee & Grill Buffet,"St. Huỳnh Tấn Phát, Ward 11, TP. Da Lat (gần dốc số 7) ","Coffee shop and barbecue buffet, famous for its hill view and windy sunset. At night, the flickering campfire creates a cozy date in the cold weather of Da Lat.",Eating
P056,Dalat Bunny Hill,"Dalat Bunny Hill Tự Tạo, St. Tự Tạo, Ward 11, Da Lat, Lam Dong","Entertainment complex on the hill with hot air balloons, light garden and cafe. When night falls, thousands of small lights turn this place into a wonderland.","50% nature, 50% human"
P057,Cheo Veooo Coffee Shop,"116 Hùng Vương, Ward 11, TP. Da Lat ",The 24/7 coffee shop stands out with its sky net and golden valley view at night. Stop by during the day to sit on the swing by the cliff and smell the wafting scent of young pine trees.,Cafe
P058,Cafe Chenh Venh,"550 TBĐ 48C, Ward 12, Da Lat, Lam Dong","The coffee shop is perched on the hillside, looking straight down at the sea of ​​green pine trees. Simple wooden chairs and hanging lights make every frame look very chill.",Cafe
P059,"Lake of Sighs, Dalat","Ward Lâm Viên - Da Lat, Province Lam Dong ( Old address : Ward 12, Da Lat, Lam Dong) ","The lake is associated with the legend of sad love, surrounded by pine trees. Early in the morning, the calm lake surface reflects the clouds and sky, creating a picture of smog.",Pure nature
P060,Me Linh Coffee Garden Dalat,"Tổ 20 Thôn 4, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : Tổ 20 thôn 4, Tà Nung, Tp. Da Lat, Lam Dong) ",Coffee farm with 360-degree glass balcony overlooking the vast tea hills. Drinking pure weasel coffee and checking in by the sunflower field is a combo not to be missed.,Cafe
P061,Bee Farm - Bee Garden Dalat,"DDT725, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : ĐT725, Tà Nung, Da Lat, Lam Dong) ","The bee farm lets you wear protective gear, participate in spinning honey and taste wild honey. The flower garden blooms all year round with a sweet scent that everyone loves.",Healing
P062,Mongo Land Dalat,"Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : Tổ 16 thôn 1, Tà Nung, Da Lat, Lam Dong) ","Glamping resort with transparent roof tents, wooden bridges and fairy tree houses. At night, the pine forest lights up with warm yellow lights, giving a very different feeling compared to the city.","50% nature, 50% human"
P063,Chika farm,"Tổ 4, Thôn 2 Commune Tà Nung Da Lat","European style farm where you get to touch sheep, alpacas and rabbits. Colorful flower beds make the perfect backdrop for a wedding or family album.",Manmade
P064,Flowers In The Forest Of Da Lat,"Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : Commune Tà Nung, City Da Lat, Province Lam Dong) ","The flower garden is located deep in the forest, featuring a wooden bridge path and purple lotus pond. Each season brings a new decoration concept that fascinates virtual life enthusiasts.","50% nature, 50% human"
P065,ZooDoo Da Lat Zoo,"Commune Lạc Dương, Province Lam Dong ( Old address : Tiểu khu 94A, Commune Lạc Dương, Province Lam Dong, Vietnam) ","The friendly zoo allows you to feed kangaroos, camels and sheep directly. The space is designed to be open in the middle of a pine forest so it is very fresh for children.",Healing
P066,Pawsome Haven Da Lat,"Commune Nam Ban Lâm Hà, Province Lam Dong ( Old address : ĐT723, Commune Đạ Nhim, Lạc Dương, Lam Dong) ","Rescue dog and cat care area, where visitors can play and adopt. Therapy activities with pets help relieve stress and spread the message of loving animals.",Healing
P067,Langbiang Mountain Da Lat,"Ward Lang Biang - Da Lat, Province Lam Dong ( Old address : Thị trấn Lạc Dương, District Lạc Dương, Lam Dong) ",The highest mountain peak in Da Lat with views of Dankia lake and green valley. Experiencing mountain climbing jeeps and enjoying Lach specialties is something not to be missed.,"50% nature, 50% human"
P068,Cu Lan Village Dalat,"DDT722, Ward Lang Biang - Da Lat, Province Lam Dong ( Old address : ĐT722, Lát, Lạc Dương, Lam Dong) ","The village of the K'Ho people is located in the middle of a pristine pine forest, with streams and turquoise lakes. Gong and bamboo rafting shows provide an intimate look at indigenous culture.",Pure nature
P069,Dalat Golden Valley,"Khu du lịch Thung Lũng Vàng, Ward Lang Biang - Da Lat, Province Lam Dong ( Old address : Lạt Đồng, Khu du lịch Thung Lũng Vàng, Lát, Lạc Dương, Lam Dong) ","Golden Valley conquers tourists with its bonsai garden, Dan Kia lake and pine trees. In spring, cherry blossoms bloom, sunlight reflects on the water surface picturesquely.",Pure nature
P070,Da Lat Elephant Mountain pine forest,"Cao tốc Prenn/Km 214 St. cao tốc Liên Khương - Prenn, Thôn K'Long, Commune Hiệp Thạnh, Province Lam Dong ( Old address : Cao tốc Prenn/Km 214 St. cao tốc Liên Khương - Prenn, Thôn K'Long, Đức Trọng, Lam Dong) ","Ancient pine forest at the foot of Voi Mountain, famous for its zipline and standard camping. The cool air all year round is suitable for group retreats with young people.","50% nature, 50% human"
P071,Pongour Waterfall Dalat,"Thôn Tân Nghĩa, Commune Ninh Gia, Province Lam Dong ( Old address : Thôn Tân Nghĩa, xã Ninh Gia, huyện Đức Trọng, tỉnh Lam Dong) ","Pongour is the most majestic terraced waterfall in the Central Highlands with 7 basalt floors. In the rainy season, the water pours down strongly, creating white foam. In the dry season, it is suitable to camp at the foot of the waterfall.",Pure nature
P072,Samten Hills Dalat,"Thôn Kambute, Commune Đơn Dương, Province Lam Dong ( Old address : Thôn Kambute, xã Tu Tra, huyện Đơn Dương, Lam Dong) ",Spiritual complex in Vajrayana style with 81m high Amitabha Buddha statue. The mandala paintings and the ringing of the big bell make you feel like you've stepped into Tibet.,Spiritual
P073,Clover Spa Massage Dalat,"Commune Nam Ban Lâm Hà, Province Lam Dong ( Old address : 27/5, Hai Bà Trưng, tỉnh Lam Dong) ","The spa combines indigenous herbs, famous for its deeply relaxing massage treatments. The warm wood space and the smell of cinnamon essential oil help the body recover after a long day of exploration.",Healing
P074,Dalat Elephant Waterfall,"Commune Nam Ban Lâm Hà, Province Lam Dong ( Old address : Commune Gia Lâm, thị trấn Nam Ban, huyện Lâm Hà, tỉnh Lam Dong) ","Elephant Waterfall powerfully falls from a height of 30m, creating a cool mist all year round. Trek through moss-covered stone steps that lead you to a fascinating basalt cave.",Cafe
P075,Linh An Pagoda Dalat,"Commune Nam Ban Lâm Hà, Province Lam Dong ( Old address : Ba Đình, TT. Nam Ban, Lâm Hà, Lam Dong) ","The pagoda owns a 71m high Guan Yin statue and countless exquisite wooden statues. From the temple yard, looking down at the vast coffee valley, the feeling is extremely pure.",Spiritual
P076,Dragonfly Bistro Da Lat,"217 Thôn 5, Commune Nam Ban Lâm Hà, Province Lam Dong ( Old address : 217 thôn 5, Mê Linh, Lâm Hà, Lam Dong) ",Coffee shop on the hill with wooden stairs and flower garden sparkling with lights in the evening. The fusion menu combines European dishes and Da Lat flavors to make your dinner more special.,"50% nature, 50% human"
P077,European Garden Dalat (Euro Garden),"Xuân Trường, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Xuân Trường, Da Lat, Lam Dong) ","European-inspired garden with Greek statues, fountains and antique rose garden. White stone platforms interspersed among pine forests create a strange scene in the middle of a mountain town.","50% nature, 50% human"
P078,Da Lat Flower Plateau,"Tiểu khu 158, Ward Cam Ly - Da Lat, Province Lam Dong ( Old address : Tiểu khu 158, Da Lat, Lam Dong) ","Seasonal flower fields with check-in greenhouses, especially vibrant during sunflower season. The wooden bridge path leading through the hydrangea garden is a favorite highlight of many couples.","50% nature, 50% human"
P079,Long Dinh Tea Museum Dalat,"QL20, Trạm Hành, Ward Xuân Trường - Da Lat, Province Lam Dong ( Old address : QL20, Trạm Hành, Da Lat, Lam Dong) ","The museum tells the hundred-year story of Long Dinh tea and Da Lat tea growing profession. You can see the brewing process, smell the aroma and taste premium tea lines right on the spot.",History
