,ID,Tên địa điểm,Giờ mở cửa,Giá vé / Giá nước,Địa chỉ,Class1,Class2,Link TikTok,Lat,Lon
,P016,Đường hầm điêu khắc đất sét Đà Lạt,07:30 - 17:00,Chỉ từ 120.000 VND/ người,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 4, Đà Lạt, Lâm Đồng) ",Manmade,History,https://www.tiktok.com/@512vietnguyen/video/7260809285892885767,11.882662684014075,108.41154794232942
,P017,Ngôi nhà điên Đà Lạt,8:30 – 18:30,Chỉ từ 80.000 VND/ người,"3 Huỳnh Thúc Kháng, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 03 Đ. Huỳnh Thúc Kháng, Phường 4, Đà Lạt, Lâm Đồng) ",Manmade,,https://www.tiktok.com/@callmevyvo/video/7154697976508632346,11.9345743,108.4304349
,P018,Suối tía,8:30 - 17:30,Giá vé: 30.000 VND,"Phường 4, Đà Lạt, Lâm Đồng",Pure nature,Healing,https://www.tiktok.com/@blogcuarot/video/7330951771667352834?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.88005503632392,108.41217990872887
,P019,Chùa Lâm Tỳ Ni Đà Lạt,,,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 2 Thiện Mỹ, Phường 4, Đà Lạt, Lâm Đồng) ",Spiritual,Healing,https://www.tiktok.com/discover/ch%C3%B9a-l%C3%A2m-t%E1%BB%B3-ni-%C4%91%C3%A0-l%E1%BA%A1t,11.9368732,108.4255626
,P020,Lăng Nguyễn Hữu Hào,,,"đường Vạn Thành, phường 4, TP. Đà Lạt, tỉnh Lâm Đồng",Spiritual,Healing,https://www.tiktok.com/@toiladandalat/video/7483456772993240342?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.943262970821982,108.41654972325567
,P021,Dinh Bảo Đại III Đà Lạt,7:00 - 17:30,Chỉ từ 30.000 VND/ người,"1 Triệu Việt Vương, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 1 Đường Triệu Việt Vương, Phường 4, Đà Lạt, Lâm Đồng) ",History,,https://www.tiktok.com/@nguyenphudalat/video/7541332349934439697,11.9299057,108.4298302
,P022,Crazy House,8:30 - 18:00,80.000 VND,"03 Đ. Huỳnh Thúc Kháng, Phường 4, Đà Lạt, Lâm Đồng",Manmade,bizarre,https://www.tiktok.com/@huongnoidian/video/7527037092967369992?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.9345743,108.4304349
,P023,Happy Hill,7:00 - 17:30,Giá vé gồm nước: 80.000 VND/ người,"Happy Hill, Hoa Phượng Tím, Phường 4, Thành Phố Đà lạt",Cafe,Healing,https://www.tiktok.com/@chutai.dalat/video/7511629620748225810?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.883968,108.41776
,P024,Hiệp Khách Lầu Đà Lạt,8:00 - 17:30,,"Hẻm 27 Lê Hồng Phong, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Hẻm 27 Lê Hồng Phong, Phường 04, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@hiepkhachlaudalat/video/7315680739536751874,11.9319295,108.4257795
,P025,Fresh Garden Đà Lạt,07:30 - 17:00,Chỉ từ 108.000 VND/ người,"90B Vạn Thành, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 90B Vạn Thành, Phường 5, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@didalatcungtruc/video/7464567210669837586,11.9462747,108.4083115
,P026,Langfarm Center ,7:30 - 17:30,99.000 VND/ người,"1B Đường Hoàng Văn Thụ, Phường 5, Đà Lạt, Lâm Đồng ",Manmade,Sporty,https://www.tiktok.com/@trongtamdalat/video/7455178464073764104?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,11.9453693,108.4164428
,P027,Fairytale Land Đà Lạt,07:30 - 17:00,Chỉ từ 80.000 VND/ người,"81D Hoàng Văn Thụ, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 81D Hoàng Văn Thụ, Phường 5, Thành phố Đà Lạt, Tỉnh Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@didalatcungtruc/video/7497550617326456071,11.9484568,108.4029748
,P028,Madame De Dalat,07:30 - 17:30,Chỉ từ 150.000 VND/ người,"2 Yết Kiêu, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 2 Đ. Yết Kiêu, Phường 5, Đà Lạt, Lâm Đồng) ",History,,https://www.tiktok.com/@didalat.review/video/7452682081274039570,11.9463814,108.4263065
,P029,Khu Du lịch Sinh thái Hoa Sơn Điền Trang Đà Lạt,7:00 - 17:00,Chỉ từ 50.000 VND/ người,"Tiểu khu 159, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tiểu khu 159 Phường 5 hướng đi đèo, 159 ĐT725, P. 5, Đà Lạt, Lâm Đồng) ",Manmade,Sporty,https://www.tiktok.com/@elricreviewer/video/7333092463785118994,11.935106387006822,108.37581395834209
,P030,"Con đường hoa mai anh đào (đi vào tháng đầu năm(1, 2))",7:00 - 17:00,,"Đường Trần Hưng Đạo, dốc Đa Quý",Pure nature,Healing,https://www.tiktok.com/@widytu1022/video/7189656416456658203?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.9411194,108.5129378
,P031,Lạc Tiên Giới Đà Lạt,7:00 - 20:00,Chỉ từ 100.000 VND/ người,"⅓ Lâm Sinh, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 1/3 Lâm Sinh, Phường 5, Thành phố Đà Lạt, Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@tu_xe_dalat/video/7506720979754716434,11.942254685024421,108.40625166757742
,P032,Farm Thung lũng Gâu,9:00 - 17:30,Giá vé gồm nước: 60.000 VND/ người,"71 An Tôn, Phường 5, Đà Lạt, Lâm Đồng",Cafe,Healing,https://www.tiktok.com/@hamyhousedalat/video/7518282390452702482?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.9346808,108.4110365
,P033,Thác Cam Ly Đà Lạt,7:00 - 17:00,Chỉ từ 40.000 VND/ người,"8b Hoàng Văn Thụ, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 8b Đường Hoàng Văn Thụ, Phường 5, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@qd_media_pro/video/7195921759030447386,11.9418046,108.4208479
,P034,Nhà thờ Domaine de Marie:,7:00 - 17:00,,"01 Ngô Quyền, Phường 6, Đà Lạt",History,Manmade,https://www.tiktok.com/@hoiuc_dalat/video/7446034904669834503,11.949577,108.4302474
,P035,Viện nghiên cứu sinh học Đà Lạt,"7:30 - 11:30, 13:30-17:00",20.000 VND/ người ,"116, Xô Viết Nghệ Tĩnh, Phường 7, TP Đà Lạt, Tỉnh Lâm Đồng",History,,https://www.tiktok.com/@ha.didau/video/7270378807851273478?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,11.9718013,108.4220411
,P036,Đồi Đa Phú,N/A (Nên đi sáng sớm ngắm mây),,"Phường 7, thành phố Đà Lạt",Pure nature,Healing,https://www.tiktok.com/@thiendibui.dalat/video/7428200339402263829?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,11.983072992620992,108.40360164508292
,P037,Đồi cỏ hồng Đà lạt,7:30 - 17:00,,"Măng Lin, Phường 7, Thành Phố Đà Lạt",Pure nature,Healing,https://www.tiktok.com/@vivu.reviewdalat/video/7546558014824779015?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.998726872484077,108.3933471811277
,P038,Nông trại Puppy Farm Đà Lạt,7:30 - 17:30,Chỉ từ 100.000 VND/ người,"Cam Ly, Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Cam Ly, Phường 7, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@nongtraicundalat/video/7504629105770401032,11.963160490696303,108.388984127005
,P039,Vườn ánh sáng Lumiere Đà Lạt,9:00 - 21:00,Chỉ từ 135.000 VND/ người,"222B Mai Anh Đào, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 222B Đường Mai Anh Đào, Phường 8, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@dalatreviewtattantat/video/7313864905247968520,11.9762189,108.4438614
,P040,Thung lũng tình yêu Đà Lạt,7:30 - 22:00,Chỉ từ 260.000 VND/ người,"Mai Anh Đào, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Đường Mai Anh Đào, Phường 8, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@didalatcungtruc/video/7536071998489873671,11.9771749,108.4466232
,P041,Đồi Mộng Mơ Đà Lạt,7:30 - 17:30,Chỉ từ 250.000 VND/ người,"5 Mai Anh Đào, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Số 5 Đường Mai Anh Đào, Phường 8, Đà Lạt, Lâm Đồng) ",Healing,Healing,https://www.tiktok.com/@lagarden.villa/video/7518720636785659144,11.9779404,108.4486244
,P042,Delight Park Dalat ,"Công viên: 09h00 - 22h00, Khu vực ánh sáng: 18:00 - 22:00",Từ 200.000 VND/ người,"Delight Park Dalat, 113 Hồ Xuân Hương, Ward 9, Đà Lạt, Lâm Đồng",Manmade,Healing,https://www.tiktok.com/@somewhere_in_dalat/video/7497398965156039943?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,11.9582632,108.4744012
,P043,Đồi Thông Hai Mộ,,,"đường Hồ Xuân Hương, phường 9, thành phố Đà Lạt",Pure nature,Healing,https://www.tiktok.com/@ngocnonlaa/video/7449045182206463249?q=%C4%91%E1%BB%93i%20th%C3%B4ng%20hai%20m%E1%BB%99&t=1761097205551,11.9584315,108.4750143
,P044,Vườn bí ngô khổng lồ Đà Lạt,7:00 - 11:30,Chỉ từ 000 VND/ người,"69 Hồ Xuân Hương, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 69 Hồ Xuân Hương, Phường 9, Đà Lạt, Lâm Đồng) ",Manmade,"50% nature, 50% human",https://www.tiktok.com/@ivykechuyen.official/video/7539177013559528711,11.9526981,108.4746325
,P045,Biệt thự cổ Cô Giang ,7:00 - 17:30,,"17 Cô Giang Phường 9, Đà Lạt, Lâm Đồng",History,Manmade,https://www.tiktok.com/@our.30s/video/7238168437577551110?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.9472094,108.458496
,P046,Still Cafe,7:00 - 22:00,Giá nước: 47.000 VND/ người,"59 Nguyễn Trãi, Phường 9, TP. Đà Lạt ",Cafe,Healing,https://www.tiktok.com/@trongtamdalat/video/7204844274884791578,11.9446048,108.4548298
,P047,Ga Đà Lạt,7:30 - 17:30,Vé cổng: 50.000 VND/ người,"7a Nguyễn Trãi, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( số 1 đường Quang Trung, phường 10, thành phố Đà Lạt, tỉnh Lâm Đồng)",History,,https://www.tiktok.com/@thechoco.vn/video/7437356060291239176?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.941901814450482,108.4537183794322
,P048,Dinh Bảo Đại I Đà Lạt,7:00 - 17:30,Chỉ từ 50.000 VND/ người,"1 Trần Quang Diệu, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Số 1 Đ. Trần Quang Diệu, P10, Đà Lạt, Lâm Đồng) ",History,,https://www.tiktok.com/@elricreviewer/video/7129364245531184410,11.944482643769593,108.46966741457729
,P049,Dinh Bảo Đại II Đà Lạt,7:00 - 17:30,Chỉ từ 40.000 VND/ người,"12 Trần Hưng Đạo, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 12 Trần Hưng Đạo, phường 10, Đà Lạt, Lâm Đồng) ",History,,https://www.tiktok.com/@thaine812/video/7285002421691108615?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.9366812,108.4494196
,P050,Tiệm Cà Phê Bình Minh Ơi,Không có thông tin,Không có thông tin,"89 Hoàng Hoa Thám, Phường 10, TP. Đà Lạt ",Cafe,Healing,https://www.tiktok.com/@dalatdreamer/video/7531339217549511943?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.9336841,108.4648486
,P051,Chùa Linh Phước Đà Lạt,7:00 – 17:00,,"120 Tự Phước, Phường Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 120 Tự Phước, Phường 11, Đà Lạt, Lâm Đồng) ",Spiritual,History,https://www.tiktok.com/@didauvaychau/video/7228840308673449221?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.944689332962803,108.4993267916142
,P052,Trạm Ký Ức Đà Lạt,7:00 - 22:00,Giá nước : Chỉ từ 45.000 VND/ người,"87 Huỳnh Tấn Phát, Phương Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 87 Huỳnh Tấn Phát, Phường 11, Đà Lạt, Lâm Đồng) ",Healing,Cafe,https://www.tiktok.com/@hy.h.thik.i/video/7510898143936957704?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.957251018582392,108.48760427222946
,P053,Tiệm Cà Phê Túi Mơ To Đà Lạt,7:30 - 21:30,Giá nước : Chỉ từ 45.000 VND/ người,"Hẻm 31 Sào Nam, Phường Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Hẻm 31 Sào Nam, Phường 11, Đà Lạt, Lâm Đồng) ",Cafe,Healing,https://www.tiktok.com/@hachireview74/video/7400276396662131976?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.941082423366813,108.4836870569412
,P054,Thị trấn Nobi Đà Lạt,7:30 - 18:00,Giá vé tham quan : Chỉ từ 45.000 VND/ người,"30/36 Nam Hồ, Phường Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 30/36 Đ. Nam Hồ, Phường 11, Đà Lạt, Lâm Đồng) ",Manmade,Cafe,https://www.tiktok.com/@didalatcungtruc/video/7170531732700024090?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.948196591472778,108.47881601381202
,P055,Lời Của Gió Coffee & Buffet Nướng,7:30 - 22:00,Giá nước: 80.000VND,"Đường Huỳnh Tấn Phát, Phường 11, TP. Đà Lạt (gần dốc số 7) ",Eating,Cafe,https://www.tiktok.com/@didalatcungtruc/video/7370584459789258000?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.950284527634732,108.4910943671108
,P056,Đà Lạt Bunny Hill,7:00 - 22:00,Giá vé: Từ 60.000 VND/ người,"Dalat Bunny Hill Tự Tạo, Đường Tự Tạo, Phường 11, Đà Lạt, Lâm Đồng","50% nature, 50% human",Healing,https://www.tiktok.com/@tiemanhbaprangbo/video/7546854314422127880?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,11.950015980626931,108.50307771888018
,P057,Tiệm Cà Phê Cheo Veooo,24/7,Giá nước: 60.000 VND,"116 Hùng Vương, Phường 11, TP. Đà Lạt ",Cafe,Healing,https://www.tiktok.com/@bolonton_/video/7483739997804236040?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.939248076370957,108.4821716961313
,P058,Cafe Chênh Vênh,7:00 - 22:00,70.000VND ,"550 TBĐ 48C, Phường 12, Đà Lạt, Lâm Đồng",Cafe,Healing,https://www.tiktok.com/@nhanphepha/video/7441582461164735762?q=Ph%C6%B0%E1%BB%9Dng%2012%20%C4%90%C3%A0%20L%E1%BA%A1t&t=1761095589442,11.967219182553091,108.48840384824048
,P059,Hồ Than Thở Đà Lạt,8:00 – 17:00,Giá vé : Chỉ từ 20.000 VND/ người,"Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 12, Đà Lạt, Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@lamdongonline/video/7539536611843771649?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.956163914691267,108.47891190030428
,P060,Mê Linh Coffee Garden Đà Lạt,7:00 - 18:00,140.000 VND,"Tổ 20 Thôn 4, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tổ 20 thôn 4, Tà Nung, Tp. Đà Lạt, Lâm Đồng) ",Cafe,Healing,https://www.tiktok.com/@elricreviewer/video/7134189071760379162?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.901312922535784,108.34696541887298
,P061,Trang Trại Ong – Bee Garden Đà Lạt,8:00 - 17:30,,"DDT725, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : ĐT725, Tà Nung, Đà Lạt, Lâm Đồng) ",Healing,Manmade,https://www.tiktok.com/@nongtraiongdalat/video/7536019832685333778?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.926797481392233,108.34755013475598
,P062,Mongo Land Đà Lạt,07:00 – 17:30,Giá vé tham quan : Chỉ từ 100.000 VND/ người,"Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tổ 16 thôn 1, Tà Nung, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@mongoland.farm/video/7545346677444463890?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.91636107162801,108.33909289612811
,P063,Chika farm,8:30 - 17:30,110.000 VND,"Tổ 4, Thôn 2 Xã Tà Nung Đà Lạt",Manmade,Healing,https://www.tiktok.com/@budicafe_/video/7334311499130883330?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.921433220897613,108.34106194215907
,P064,Hoa Trong Rừng Đà Lạt,5:30 - 18:30,Giá vé tham quan : Chỉ từ 65.000 VND/ người,"Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Xã Tà Nung, Thành phố Đà Lạt, Tỉnh Lâm Đồng) ","50% nature, 50% human",Healing,https://www.tiktok.com/@hongphuonghoteldalat42/video/7561405143296576784,11.904395929728201,108.3670042733792
,P065,Vườn thú ZooDoo Đà Lạt,8:00 - 16:00,Giá vé tham quan : Chỉ từ 95.000 VND/ người,"Xã Lạc Dương, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tiểu khu 94A, Xã Lạc Dương, Tỉnh Lâm Đồng, Việt Nam) ",Healing,"50% nature, 50% human",https://www.tiktok.com/@julepe.sheen/video/7222865453000019227?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,12.112539769860943,108.5857269234096
,P066,Pawsome Haven Đà Lạt,9:00 - 17:30,Giá vé tham quan : Chỉ từ 95.000 VND/ người,"Xã Nam Ban Lâm Hà, Tỉnh Lâm Đồng ( Địa chỉ cũ : ĐT723, Xã Đạ Nhim, Lạc Dương, Lâm Đồng) ",Healing,"50% nature, 50% human",https://www.tiktok.com/@trantran97a/video/7402974040937352455?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,12.113104048368522,108.58642661890397
,P067,Núi Langbiang Đà Lạt,07:30 - 17:00,Giá vé tham quan: Chỉ từ 50.000 VND/ người,"Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Thị trấn Lạc Dương, Huyện Lạc Dương, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@ha.didau/video/7447872324709256466?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,12.048750579512337,108.44234644227822
,P068,Làng Cù Lần Đà Lạt,08:00 - 17:00,Giá vé tham quan : Chỉ từ 120.000 VND/ người,"DDT722, Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : ĐT722, Lát, Lạc Dương, Lâm Đồng) ",Pure nature,Sporty,https://www.tiktok.com/@vie.viee__/video/7522824472684973319?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,12.02697739988545,108.36361371148755
,P069,Thung lũng Vàng Đà Lạt,07:00 – 17:00,Giá vé tham quan : Chỉ từ 70.000 VND/ người,"Khu du lịch Thung Lũng Vàng, Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Lạt Đồng, Khu du lịch Thung Lũng Vàng, Lát, Lạc Dương, Lâm Đồng) ",Pure nature,Sporty,https://www.tiktok.com/@our.30s/video/7136387663283686682?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,12.006716513099532,108.38074915011099
,P070,Rừng thông núi Voi Đà Lạt,8:00 - 17:00,Giá vé tham quan : Chỉ từ 180.000 VND/ người,"Cao tốc Prenn/Km 214 Đường cao tốc Liên Khương - Prenn, Thôn K'Long, Xã Hiệp Thạnh, Tỉnh Lâm Đồng ( Địa chỉ cũ : Cao tốc Prenn/Km 214 Đường cao tốc Liên Khương - Prenn, Thôn K'Long, Đức Trọng, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@dalat.thienduongdulich/video/7426194662173510919?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,11.826634958196294,108.43571895641712
